안녕, 형아
10,가슴찡하고 감동적인 영화예요 ㅜㅜ! 그리고 코믹스럽기도하구요
10,나도 우리형한데저러케 까불었는데 정말감동적이네요..ㅠ.ㅠ
8,실화의 감동을 잘 전했네요....
7,아역과 배종옥씨의 연기가 그나마 이 영화를 살렸다..
9,불치병으로 고생 하고 있는 사람들의 삶의 모습을 그린 영화
10,그렇게 슬플지모르고 봤는데 정말 울컥했음..ㅠㅠ
10,별로기대안하고봐서그런지 보고 정말 감동받고 눈물펑펑
2,저는 별로 끝에 눈물약간고인정도???어른이보기에는쫌 별로네요
8,아역배우들 연기는 정말 굿입니다
10,대략 대박... 눈물을 펑펑 흘렸다는 ㅋ
7,식상한 소재이나 역시 슬프다.. 이세상에 질병없는날을 꿈꾸며
10,식상한 소재라고 하지만 매번 가슴을 울리는 감동은 무엇일까요?
10,눈이 아니라 가슴으로 울었습니다.
5,귀엽다
4,볼만은 하지만 너무 식상한 소재와 진행.
10,아이들의 연기..가 좋았고.. 감동적이다.
8,그 다모삘나는 장면 -_-; 이해안감 ! 그러나 정말 재미는 있다
8,안녕, 형아. 욱이 잘가...
5,T.V 병동 다큐보는 느낌..실화소재..
8,아이의 시선으로 그린 영화...왜 극대화 시키지 못했을까?
10,정말 슬프고 감동적이당.....
10,정말 좋은 영화.. 평범하면서도 슬픈 이야기..
10,연기 영화속의 실제 모습같아요 본인이아닌 특히 형과 동생.
10,아역 연기자들이 연기 넘 잘했어요~ 내용도 감동적이였습니다~
7,아역연기자의 연기가 좋았다. 내용은 평범
1,너무 식상하다
9,진짜 열라 슬프다.. 눈물 안나올 수가 없다...
10,감동적이에요
10,재미있었구 비춤출때 너무 웃었어요 + _ + ;;
7,너무 기대를 했나 봅니다.. 그래도..눈물은 흐르더이다..
10,재밌었습니다.
10,아이의 눈에서 본 영화다.. 어른들의 기준으로 판단하지 말라
7,갠전으로 재미는 60% 감동은 은근히 40%....(__;)..그러저럭함
9,유희왕카드의 압박 ㅋ
8,훔.. 잼있는데 처음 부터 중간이 왠지허술
10,눈물 와락.
10,감동이훈훈한영화재밋어염^^
10,감동이 그대로 느켜지는 영화
10,굿굿굿 ,,
10,꼬맹이때문에 마니 울고왔다..ㅎㅎ
6,박지빈 짱.
7,드라마적 요소가 강한 영화! 나름대로 감동도 있다
1,극 전개 엉성.욱이가 주인공?그다지 슬프지도 않음.
10,슬프지만 귀여운친구지빈이가 웃겨준다
7,아이의 시선이 느껴지는 동화같은 마지막..
10,눈물이 쏟아짐 ;; ㅋ
10,감동이였고..울릴땐울리고,,웃길땐웃겼다..
7,자빈이 귀여움웠음나름대로 볼만했찌만.. 결말이 좀 이상했엉
8,오랜만에 진짜 아이가 나오는 영화
9,울리려고 작정한것 같았지만 꽤 좋았슴다..
7,좀 쌩뚱맞은건 있었지만 감동적..
10,이영화때문에정말많이울고웃엇습니다^^
10,너무 재미있고 감동적이고 형제의 소중함을 느끼게해준 영화
3,기대를많이하고봐서그런지,, 실망이컸어요-,.-
8,가족영화~울기보다는 웃기도 많이했어요
10,감동 찡~
10,형제의 소중함을 느꼈다..휴지한통다씀 눈물닦느라..
10,너무 재밋었던 영화 감동
10,재밌으면서 슬픈이야기ㅠㅠ
1,에라...
9,생각보다 괜찮았던 영화- 감동!
9,따뜻하고,소중해지는 영화.. 다들 지빈이가 멋있다고 하지^^
10,정말 많이 울었어요 스트레스도 풀리고 ㅎㅎ
10,진짜사람들의얼어버린마음을따뜻한연기로녹여버리는영화예요ㅠ
10,슬픈이야기ㅠ
10,우와.  정말,,재밋었어요 ! 한이 짱 ! <-,,,뭐냐, -_-;
10,ㅇ ㅏ=ㅁ= 진짜 완전짜앙 ㅎ
10,너무 좋은 영화
10,너무 감동 적이야.
10,청주시 상당구 용암동 상당초5학년내친구박지빈훌륭하다
10,박지빈 연기 넘 잘합니다
10,너무 재미있었습니다,
10,시작과 동시에 눈물이 줄줄 흐르고 ㅠㅠ 완전 재밌었어요!!!
10,넘 슬포요.ㅠㅠ
8,박지빈 꼬마주제에 연기 참 잘하네여~
8,감동과 코믹이 함께하는 가족영화
10,너무 슬프답니다. 남녀노소 누구든지 볼만한 추천 영화 입니다.
10,너무슬픈영화; 박지빈연기 최고입니당~
10,슬포ㅠㅠ
10,내 마음을 울린 영화..
8,박지빈의 연기가 대단하네요.볼만합니다.
1,차라리 CDP가져가서 듣고있을껄 하는 생각이 들정도로..
10,진짜 펑펑 울었습니다. ㅠㅠ 너무 슬퍼요..
3,눈물 한방울도 안나오더구만 -_-
10,관객동원을 위한 장치들이 약간 식상하지만 내용자체는 감동감동
8,예상보다 감동적이었어요
10,정말정말 강추가강추~~♡
9,재밋다 -_- ㅎ 저사람들감정이매말랏네 ~
10,너무 감동적이었어요
4,역시 제가 무감각해졌군요...
1,병원24시가 더 젬있고 슬프다...억지 슬픔과 감동을 주려는 영화
10,마라톤에 이은 명작..
10,정말 재밌는영화다
7,눈물은많이났지만, 부족하다 내용이 ㅇㅅㅇ
10,`난독해서 안울어`라고 말하고보았는데..너무슬프다;
10,울음으로 90분을 보낸 영화 적극 추천합니다.ㅎㅎ
10,감동 받았다
1,애기들 연기는 좋았다 가끔웃겼다  타잔? 무척황당하다-  -
6,억지감동 조장말자!
10,그래도 가면서 더재미있어지는데..;
2,연기는 좋았지만 억지로 눈물을 쥐어짜낸다는 생각밖에 안든다.
3,기대가컸음일까?웃기지도울리지도감동도없었다 전혀..
1,영화 왜그래이거 눈물흘리고 콧물짤라고
1,2005년 한국영화 정말 왜이런가?
10,웃음과 감동이 있는 영화...
1,아 -_-;;
1,생각보다....
1,기대 했었는데 실망..ㅠ
7,평범하지만 뭔가모르는 감동은 좀있는듯
7,슬퍼할틈도 웃을틈도 없는 영화...
9,감동 그 자체....
1,.........실망
7,꼬마주제에 아주 재밌다.감동도 준다.
10,소박한 감동
10,나도 아들에게 쿠키를 구워주고 싶당..
10,요즘은 드라마가 왠지 끌려.  세바스찬이 왠지 끌려.  ㅋㅋ
10,전체적으로 차분한내용인데 박지빈이 연기는 탁월하데요.
10,가족영화로 좋아요.타잔아저씨와하늘을날으는장면도재밌어요.
9,기대는 별로 안했는데 괜찮았음.
10,good. ^^
10,아이들이 무척 좋아하데여. 간만에 좋은영화 잘봤어여.
10,잔잔한감동 순수한 동심에 한표
1,쓰레기명필름답게 시류에편승해보려는안일한
10,나도 모르게 나오는 눈물 한 방울 말로 표현할수 없는 감동.
10,정말 눈물나는 영화 입니다. (강추~~)
10,강추~~ 입니다.
10,지빈이 연기 끝내줌..큭..[<]
3,아이들 연기는 좋았지만..모르겠다, 눈물도 안나오던데;;;
10,정말눈물한방울도안나왔다... 뒤에서우는사람들이부러웠음 -_-
5,아이들 시각에서 어른들을 울리고 웃겼어야했는데...
7,눈물은쏙뺐다...근데강추는좀아님.
8,타잔땜에...넘 그랬지만 감동은 약간 있었음
8,나름대로 괜찮음.. 실화를 근거로 제작했다고해서 더 감동이었음
1,뻔한 이야기..눈물하나 안나와..병원24시 차라리 그거보자..
8,따뜻한 가족애와 감동...
1,밀리언즈 다음으로 유치함. 거기서 타잔아저씨는 왜 나오냐고~
5,이영화 기억남는건 타잔 아저씨뿐.... 근데 그사람 죽은 건가..?
6,내용의 품질이 별로 였다. 더 슬프게 만들었을수있었던영화
10,진짜 슬펏음 ..
4,그저 그렇다 조금은 유치한,,,
1,내용 연결도 잘 안되고- _-..억지로 눈물을 짜내는 영화;;
10,가족의 소중함을 느낄 수 있었던 작품
9,그냥 재미있었음 ㅋㅋㅋㅋ
10,너무너무 감동적. ㅠㅠ
10,난 저 남자놈 나오는건 도저히 감동이 안와...
10,울다가 웃다가 하게 만드는 영화인거 같아여.. 잔잔한 감동
10,우리 아이들이 너무좋아해요.
10,너무 슬펐습니다 ^ ^ 잘봤습니다
1,완전 쒰이다.. 너무나도 쉽게 만든 싸구려 영화.
4,굉장히... 산만했다. 뭐가 이래? 어디서 울어야할지..
6,재미없다는.... 형아가 죽는줄아랏는디 이상한애가주거버림 안
8,감동이 있긴 있었는데..뭔가 지루한 감동
10,슬프지만 진한 형제애와 우정을 느낄 수 있는 영화인 것 같아요
10,너무 슬프고 재밌고 웃긴 이야기인것 같아요.
10,정말로 슬프고 감동적입니다. 꼭 보았으면 좋겠어요.
10,재밋다
10,정말재밋엇는대 ㅠㅋㅋㅋ
7,예고편만큼은 슬프지 않았어요재밌긴 했어요 봐도 좋을
2,보고나서 쫌 후회됨 재미,감동모두 별로
2,지루했다.
1,너무 스토리 어색하고, 재미 없음, 큰 감동이 없음
10,나름대로슬펐음;;
1,솔직히영화내용보다팝콘먹는데더신경쓰이더군요ㅋ그만큼몰입안됨
10,I down tear..... very sad..!!
10,감동적이고,슬픈이야기..아역들,배우들 모두 연기너무좋았어요.
7,기대 버리고 가니 나름대로 감동적이던데?
7,울 준비 하고 가면 눈물 안나오는 영화
9,의외인 부분에서 울게만드는 영화
10,감동적인 이야기...☆ ㅜㅜ
10,영화 끝나고 가장기역에 남는건.  타  잔 !!!!....
10,처음 부터 끝까지 울게 만드는 좋은 감성 영화
10,웃음이 나오다가도 코끗이 찡해지는 이야기..
10,음악과지빈의모든연기는통곡하게만들더군요넘감동적
10,정말 연기 잘하는 박지빈군 특히 태양을피하는방법 인상적
10,감동이 감동적이네요 눈물이많이흐르네요 정말 감동적입니다
10,감동적이다
10,아이들이 있는 가족들은 강추입니다.
10,앙앙앙 너무슬퍼
9,보는 내내 울었어요ㅠ.ㅠ추천하고 싶은 영화^^
7,옥동자 욱이가 죽는장면에 눈물 흘렷다. 타잔아저씨는 먼지;;
3,뭐가 감동적이라는건지.. 차라리 예고가 더 감동적이고 슬프다~
10,말아톤보다 잼있고 감동적이던데
10,재미있긴 했는데.왠지 제목이 안녕욱아여야 할 것같은 느낌이.
1,처음에평점8.5넘었는데 왜평점떨어지는지알겟다..남는건타잔뿐..
1,포스터만 봐도 쓰레기
4,남은건..타잔아자씨..음...ㅡㅡㅋ
7,말아톤보다는 별로~~내사랑 토람이가 더 슬펐어여^^ㅋㅋ
4,가족 재밌게 본사람은 추천.안그러면 NO!!너무밋밋해
10,감동적인 영화 오랫만에 깔끔한 영화 보았네요
10,오랜만에 무지 울었네요...마라톤보다 더 감동적인것 같은데....
5,그냥,별로,,
7,만약 오빠가 결혼하면 생각날영화같아요 많이울었어요
6,신파가 갠적으루 별로.
10,지빈이 연기도 잘하고, 너무 감동적인 영화♥
10,박지민화이팅
10,별표5개.  박지빈외 아역들 연기 탁월.
10,어제 친구들 대체로 만족한 수준.
10,그다지 기대는 안했었는데 생각보다 좋았다. 휴지준비필수.
10,영화 그만하면 잘 만든거지.
10,감동과 재미가 있습니다.
8,볼만했습니다 ;; 기대했던것보다는 볼만했네요^^
6,남자애가 귀엽다는것 말고는, 슬프지도 않음.
9,애들하고 보기에 좋은 영화네요
5,음 글쎄~
10,아이들의 시선에서 만든 가슴 찡하면서 꾸밈없는 영화
8,실화를 그린 영화인데도 큰 과장없는 솔직한 영화.
10,눈물 나는 영화 박지빈은 아역 치곤 잘했닼ㅋ
8,눈물샘 자극...ㅠ_ㅠ
10,캬하, 지빈이 너무 귀여움,ㅎ
10,이거 진짜 슬퍼요...뻔한스토리지만..
2,설날이나 추석때 티비로 봐야 할 영화다. 돈아깝다
10,연기 정말 잘한다 숨차도록 울엇음 ㅠㅠㅠ
1,저애의 눈빛이 너무싫다
4,돈아깝다.. 차라리 집에서 단막극이나 볼걸..
8,잔잔한감동... 동심의 세계..........
10,아역배우들의 연기가 너무 좋았어여.. 너무 재밌게잘봤어여~^^
1,아무리 잘줘도 3점이상은 못주겠다...
10,정말감동이었어요♡
10,이 영화 넘 감동적이고,, 재밋엇어요,, 추천 합니다!
10,ㅋㅋㅋㅋㅋㅋㅋ
10,이것저것 새삼 울게만든영화.맘에드는영화
10,영화너무이쁘다돈도안아깝고감동과재미를동시에느낄수가있다.
9,기대는별로안하고갔는데 기대이상이다.눈물이앞을가려혼났다.
10,진짜 처음부터 눈물나는 영화에요ㅠ보면 후회 안해요ㅠㅎㅎ
10,아역연기자들이이렇게잘하다니.대단하다
10,메인카피처럼 요녀석들, 되게 울린다...ㅠㅠ
10,아름다운 영화다.한이.한별이.욱이.욱이엄마,아빠 모두...
1,감동이 부족한 영화 울리려고 했으면 많이울게 해햐지 실패작...
10,이런영화를 10점 줘야지.  폭력과 그래픽이 난무하는 영화 시러
10,평범하지만 진부하지않은 잔잔한 감동이 있는영화 강추!!
9,영화 괜찮아여. 일상적인 것들이 무척 아름답게 느껴졌어여.
10,아이들도재밌어하는장면많구요.감동적임.추천함.
10,정말 볼만해요 !!  꼭보세요 ~
10,두번봤는데도 눈물은 여전히.너무감동적이예요.강추!
10,꼭봐라
9,철부지 꼬마에서 변해가는...무겁지 않게 감동있는 영화
10,내생활의 안주에서 내이웃의 아픔을 돌아볼수 있는 그런영화...
8,철부지 꼬마의 성장기
1,장난하냐?
2,정말 뻔한 내용... 상업영화... 딱이네...
3,정말이지....휴.....ㅡㅡ
9,마지막, 마음을 찡~ 하게 울리는 그 한 마디.
1,1점도 많다
3,뻔한 스토리 뻐한 눈물~ 예고편 하나 보면 영화 다 본것임....
10,추천합니다..  말아톤 보다 더 슬픈영화,,,
5,별로 추천은 안함
10,꼭 보시라고 추천해 주고싶은 영화
5,너무뻔한..너무 짧은 주기의 스토리...타잔날라댕길땐 어이없음
7,그래 제발 안녕하자.
9,정말 감동 있었습니다.
10,많은걸 느끼게 해주고, 박지빈이란 아역을 다시 보게하는 영화
1,허접하다
10,눈물과 웃음을 함께 만들어준 영화이다. 돈 아깝지 않은 영화다.
1,박지빈이란 아역은 왜이리 연기자체가 닭살이 돋는것인가.
1,감정의기복이 너무짧고 너무 많다...웃음도 눈물도 없다..
10,극단적인 신파가 아닌 많은것을 느끼게해줬다
5,신파. 억지스러움에 나오던 눈물이 쑥 들어갔다
10,가족의 소중함을 일깨워 주는 추천 1위 영화~!
1,흔히 잇는이야기..상업영화에 속아 눈물흘린 불쌍한 사람들.쯧
7,귀엽고 앙징맞고..그타고 넘 기대하지는 말고보시길
10,너무 재밌고 감동적이에요 ^^
5,슬프긴 했지만, 솔직히 식상함...
10,정말 감동적인 예기였어요.
1,별로... 너무 뻔한 얘기예요.. 눈물 나지만 약간 뻔한 스토리
10,정말 감동적!!! 강추예요!!!ㅜ_ㅜ
6,뻔한눈물스토리, 중간까메오 어이없음..;;
5,정말 식상한 얘기다..그냥 무난한 영화
10,초반부터 울었습니다.;
9,뻔한줄거리.하지만 가슴은 정말 찡하다 .눈물나오게 하는 영화
9,가슴 찡한.. 어느덧 모르게 흐르는 눈물.. 덤으로 흐르는 콧물..
10,정말 감동적이예요. 특히 마지막 부분,, 강추 강추!!
2,정말 식상한소재..마지막만 감동이랄까?
10,넘 감동적이에요...ㅠ.ㅠ
10,ㅎㅎㅎ
10,맨정신에 눈물흘리는...movie~ q.q
1,0점주지못한게한이다
10,울다가 웃다가했음ㅜㅜ 주인공 너무 귀여움 사겨야겠다>_<
10,감동 100% 너무 많은 눈물을 흘렸다,,
1,푸하~ 배종옥봐서 1점이다.
1,쯧쯧; 그래 말아톤이 성공하니까 부러웟나보지 -_-
1,보다가 중간에 나왔어요..
9,감동적인 영화. 하지만 그 이상은 없음
10,예상보다 더 좋은 영화...
1,눈물 부족 감동 부족...
7,장한이 너무너무 악동같고 귀엽고 사랑스러워요~
6,기대를너무많이해서그런지 생각보단슬프지도않앗다 , ,
10,천둥치는날본 시사회..보구 후회 안했음.가슴뭉클.눈물 쭉..
10,눈물샘을 자극한 영화..
10,웃기고 울린다 이 조그마한 녀석이
9,따뜻하고 감동적인 영화..어른들도 볼만합니다.
10,시사화가봤는데 정말 말아톤 뛰어넘어요 온몸에 소름이 ㅠㅠ!!
10,애들이 넘 귀여워요..정말 감동이네요..
9,가족과 함께 보면 좋은영화
10,시시회봤는데 정말 감동이에요~꼭보세요!!
1,왜 난 재미없었지? 허무하던데 태클 아님 제가 직접본 소감 ㅡㅡ
9,가슴 찡~ 애들이 연기를 너무 잘하네요.. ^^
10,최고..최고!!!!!
6,약간은 아쉬움이 큰영화.
10,꼭 보시길..... 아이와 함께 보면 더 좋음..
10,말아톤의 감동을 잇는 영화
8,감동은 있는데 안울음
1,앞에 포스터 주온의 애귀신같네 ㅡ.ㅡ;
10,손수건 준비...
9,뻔한내용이라고 생각하면..오산!!
8,가족 사랑을 느낄 수 있게 하는 아이들 눈높이의 영화~
7,꼬마들의 연기가 너무 대견한 영화
10,눈물과 웃음 둘 모두를 주는 영화~! 정말 시원하게 울었습니다!
10,말아톤보다 더~~~~
9,지빈이 춤추는게 난 제일 좋드라~~!!!!
10,영화 시작전 휴지를 나눠준 이유를 알았다. 강추!!!
10,정말재미있었당
6,결론이 좀 쌩뚱맞아요
10,열라 잼있음...
10,재밌다.
10,녀석들이 날 울렸다!!
10,지금 우리가 사는 세상을 위한 영화
10,후회하지않을 휴먼드라마...
10,메마른 가슴에 촉촉한 단비가 되는 영화가 되길....
10,내용 좋다
10,개봉하면 대박!!
10,재미잇을거같다 아주!
10,울다 웃다 하는영화..한이정말 화면보다 귀엽기도하고여..ㅎㅎ
1,ㅇㅇ
1,박지빈땜에 1점
10,5000만 관객 예약
10,흔한 소재 같지만 함 보시기를 바랍니다.정말따뜻할겁니다.
10,예고편만 보았는데 눈물이~
4,흔한이야기 토리형은점잔코동생은장난꾸러기자칫우리형의아류작
9,보거싶은데요
10,왜 채리나 감독언니 사진없어요??
10,아하하항~우리학교! ^^꼭 보구싶다.
10,ㅋㅋ 이거 우리학교에서 찍은건데 ;;
10,한번보고싶어요 ~ ㅋ
10,2005년 최고 기대 영화.. 온국민이 함께 봅시다!!!
10,정말 재밌을것같네요^ㅡ^빨리보고싶어요>_<ㅋ!!
10,빨리 개봉 했으면 좋겠으면 좋겠습니다.
10,울학교에서 찍습.. 강당 글구 우리반 티비 받침대도 출연..
10,재미있을것 같내요,..
10,우리학교에서 찍는영화^^ 기대되내요 ^^
10,정말 기대 됩니다. 가족모두 보기에 아주 적격이네요^^
10,임감독님의 행복한 판타지 영화와 영락없다고 기대.
1,정말 잼 없을것 같다...미안 별 하나다.
10,지빈이 장난아니게 귀여워 개봉하면 꼭본다 지빈아 기둘려 ㅋㅋ
10,와 박지빈귀엽고얼짱이당..
10,주인공이 넘 귀여워요...대박터질듯....
10,접속, 텔미썸딩, 시월애, 썸의 시나리오 작가가 쓰는것이라 잘될듯..
10,지빈아 나 너랑 같이 나올 이슬비야 ㅋ 보은,세진 그런애들도 나올꺼야 ㅋ
10,ㅎㅎ내가나온영화네 ㅋㅋㅋㅋ보조출현이다 ㅋㅋㅋ
10,많이 기대되는 영화!! 언제 개봉하냐구요~~~ㅠ
10,이거 울학교에서 찍음 오늘 촬영했음ㅋ
9,빨리 이 영화가 보고싶내요. 아니 많이 기대 되네요.
10,우리학교에서 합니당~
10,우리학교에서 한데욧!!>_< 박지빈 귀엽네..ㅎㅎ
10,지빈이 넘무 귀여워.. 또 네명의 웬수들도 너무 잘 보았고,
10,지빈이 지대 귀여워 ㅜㅜa  개봉 기대 ㅋㅋ
10,우와! 이 영화 우리 학교에서 찍는데 ㅋㅋ
10,개봉하면 꼭봐야지......꼭
10,s나도나도..기대기대..ㅋㅋ
10,정말 기대 되는 영화다... 엄청난 감동이 밀려올 것 같은 영화 같아요.
