심슨 가족, 더 무비
10,즐겁고 통쾌하다. 비판할수있나?
10,재밌어ㅋㅋㅋ
10,영원하라, SIMPSONS
10,10점만점에~10점!~
10,ㅋㅋ ㅗㅗ 하면서 들어갈때 조낸 맞아 ㅎㅎ
10,평소만화보고잘안웃는내가웃었당ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,역시 심슨!
10,영화관에서 봤는데 사람들 다쪼개더라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,왠지 모르게 정이가는 가족...
10,말이 필요 없는 영화다!!!짱!!!
10,ㅋㅋㅋ 이거 내가 본 영화 중에서 젤 웃김 ㉪㉪㉪
10,내가 본 영화중에 젤웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,진짜 웃김 ㅋㅋㅋㅋ가히 10점을줘도 아깝지않은 ㅋㅋㅋ
10,존내 웃겨 아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,2D애니메이션이 죽지 않았다라는 것을 보여준 심슨.
10,ㅋㅋㅋㅋ~ 진짜 재미있었는데.... 호머 너무 귀여워~~ㅋㅋㅋ
10,호머 너무 귀여워 ㅋㅋㅋㅋ
10,재미있어요ㅗ
9,이런 독설과 조롱, 풍자들은 어떻게 생각해 내는 것일까? 존경하지 않을 수 없다.
8,암 생각 없이 웃으며 봤네.ㅋㅋ 아무도 못말리는 심슨가족.ㅋㅋ
8,재밌다ㅋㅋㅋㅋ
10,그냥 좋다. 심슨가족.
10,정말 재밌네요 ㅋㅋㅋㅋ굿!!!
5,솔직히..기대했던 것 만큼 재밌지는 않았다...좀 실망..
9,너무 재밌어서 골때리고, 아동에겐 추천하고 싶지 않은 만화, ㅋ
6,시리즈최고에피소드들 보다 못해서............
10,c최고!
10,최고의 가족 스토리~
10,최고의 영화. 극장에서 못본게 아깝다
10,정말정말 재밌서용!!
8,ㅋㅋ 웃겼어 간만에
10,최고!!!!!!! 애드립 !! 정말 별점 100개도 아깝지 않다.
10,TV 시리즈와 좀 다른 분위기였지만 재밌게 봤습니다^^
9,심슨~~ 호머어 심스은~! 날 절대 실망시키지 않았어~!
10,일반 에피소드보다는 못해도 최고~!!!
10,역시 처음부터 웃기시는
7,실제 심슨과는 너무나도 달랐다.. 너무 억지로 웃기려는 부분도 있었고..
5,그닥...
8,재밌지만 좀 아쉬움ㅋㅋㅋ
10,진정한 코믹 !!
10,수십번 봐도 질리지 않는 ㅤㅊㅚㄱ오의 영화
7,전통 미국식코미디의 진수! 전세계가 기다린 심슨의 극장귀환!
10,죤 잼있어요 ㅋㅋ사람에 따라 다르겠지만 이거 장난아님 눈만 봐도 웃겨 ㅋㅋ밴드도짱
10,재밌어요~
10,개념없긴하지만~ 재밋음,ㅋ
10,완전 잼씀!! 강추 ㅋㅋ !! 심슨 좀 짜증났다가 나중에 괜찮아지는 캐릭터임 ㅋㅋ
10,3번봐도 안질리더라.너무 귀엽고 웃기다 ㅋㅋㅋ 풍자최고 ㅋㅋ
10,정말 미친듯이 웃었다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,재밌어요   스파이더 피그 짱
7,여전히 유쾌했던 우리의 심슨 가족
9,심슨 별 기대하지 않고 봤는데 의외의 빠른 전개와 스펙터클이 빛나는 작품이었다
8,셧업 플랜더스~~
7,재밌긴 한데 애들용은 아님.ㅋ
10,이거 웃겨죽는지알았어여
10,하나도 안유치하고 재밌음 ㅋㅋㅋ
10,최고다.
10,이거 장난 아니게 재미있음
10,내가좋아하는 심슨만의매력ㅋㅋㅋ역시ㅋㅋㅋㅋㅋ최고의family심슨가족ㅋㅋㅋㅋㅋ
10,말로 할수가 없어용
10,날 이렇게 웃긴건 개그프로그램보다도      최고엿다
8,재밌고 유쾌하다
8,맘편히볼수있는. 극장에서보긴아까운, 시간날때보면좋은영화^^
7,재밌지만 역시 20분짜리를 늘이려니까 쓸데없이 진지한 장면도 있고 뭔가 겉도는 느낌
10,모처럼 많이 웃었다. 아이디어가 반짝반짝, 기대이상!!
8,쉬지않고 터지는 여유있는 풍자. 심슨만이 가능한 엽기적 웃음까지.
7,심슨을 봐왔던 사람이든 처음접하는 사람이든 빵빵 터지는 빅재미
10,패러디의 지존. 개성있는 캐릭터
10,역시심슨 ㅋㅋㅋㅋ 재치가 엿보이는 영화
10,''심슨팬치고 평점안주는건 어불성설''
10,웬만한 영화보다 훨씬낫다
7,역시 심슨.. 충분히 볼 만하다.
6,심슨이란 타이틀이 있으니 대충 만들어도 된다는 자만심이 건방진 듯.
10,심슨을 모르면 간첩
10,심슨을 안다면
9,심슨을 한시간 넘게 볼 수 있다는 것 만으로도 최고의 스트레스 해소!
6,tv와는 다른느씸의 심슨 ㅋㅋㅋ
8,만화적 센스와 신랄한 풍자가 가득한 에피소드. 단 미국식 유머코드는 주의
1,미국애들은 이런거 좋아함?
10,심슨가족.. 스펀지밥과 양대산맥을 이루는 초강력 코믹 애니메이션
10,의미있는만화. ㅎ 재밌다 중독성 최고야.ㅋㅋ
6,난 별루 재미없던것 같다.
10,그냥 짱
7,최고의 센스. 만화 만든 사람들의 머리속에는 무엇이 들었을까.
9,최고였다.
8,영어강습 한글간판나올때 대박 우껴~ ㅋㅋ 잼나여~
10,좀 더 뒤집어줬으면 좋았겠지만 충분히 화끈하게 유쾌한 패러디 공화국
10,86분 중 80분을 날 웃게만들어주엇어 ㅎ
10,괜히 OOO동안 살아남은게 아니다..당연 최고!
9,심슨네 가족 너무 좋아 ~!!!  뭘 좀 알아야 재밌게 볼 수 있는 만화 ㅎ  쵝오 ~
10,진짜 웃김 ㅋㅋ 그리고 심슨가족 은 우리나라 사람이 만들었으니까 준다 ㅋㅋ
6,아무래도 미국식 유머는 내게 안 맞는 듯.
10,심슨 팬이니까 그냥 10점 줄게요.
8,간결하게 적절히 끊어주는 유머가 계속해서 이어지는 수준 높은 풍자 코미디
10,진짜 재밌었다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,극장판 더 만들어줘요~~ 넘 잼씀
9,한밤중에 미친듯이 웃었던,ㅎ
10,신나게 웃음! 역시 심슨!
10,코미디는 웃기냐 안웃기냐로 판가름해도 충분하다는! ㅎㅎㅎ
10,심슨너무재밌당
9,풍자를 이해하고 패러디를 알아차리며 미국식 유머를 즐긴다면 무리없이 볼 수 있다
8,이히히히 난 역시 심슨식 유머가 좋아. 최고
10,재밌어욬 ㅋ
8,'심슨'시리즈 특유의 유머는 여전하군요^-^
9,영화이해가잘안갔음ㅋㅋㅋ
10,흐뭇한 웃음이..^^
5,5점
10,심슨짱...
10,정말 재미있는 영화에요 ㅋㅋㅋㅋㅋ
10,심슨*.* 아이팟에 넣어 놓고 매일 봐도 웃긴 영화.
9,만화라고 다 어린이들 대상이 아님을 보여주는 작품, 풍자와 패러디의 절묘한 조화.
10,아나..ㅋㅋ 진짜웃김 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ재밌어요
10,심슨을 볼줄모르는놈들은 가라 이게 단순한 어린애용으로 보이나
10,이거완전잼있다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,심슨은 정말 재밌어 ㅋㅋ
10,배꼽빠지는줄알았음ㅋㅋ
4,유치찬란에 황당. 2배속으로 보세요. ㅡㅡ;
7,가족끼리 보고 화목한 시간을 갖기에는 좋은영화.
10,이때까지도 재미있게봐 왔지만 극장판도 최고입니다!!!
10,역시^^
10,역시^^  기대한거보다더웃었네요^^
8,영화에서 더 빛을 발하는 심슨의 상상력 ^^
8,웃음만기대한다면 나름대로괜찮은애니
10,끝이 좀 약했지만 그래도 재밌었다ㅋㅋㅋ
7,맨처음부터 타이타닉 패러디가 너무 웃겨줘서 뒤는 재미없었다;;
8,유쾌한 심슨만화의 결정체!
8,오호~ 정말 재미있다. ^^ 그런데 사람들 구하는것 까지는 좋았는데, 오염된 호수는?
10,혼자 보면 재미없을지 몰라도 영화관에서는 대박이였음..ㅋㅋㅋ
8,보다가 좀 지루했음
8,웃기긴 정말 많이 웃기네요.
10,부모와 자녀가 같이 봐도 유쾌한 애니...
9,첨보는 심슨..미국인들이 열광할만하네..
10,독특하고 재밌는데~
8,기발하면서도 바람직한 성인용 만화.
7,그냥 시간때우기 용도로는 볼만한 영화(?)
6,미국의 미국을 위한 미국에 의한 것이기 때문에 이해가 그리..
10,아직까지 그레픽영화로만보이는가 ㅋㅋ
10,오물통 버리기...
7,상상력이 기발하다.
10,너무재밌어.미쳐.배꼽이빠졌다가돌아오질않음
10,미국과 세계의 상황과 정세를 아시는 분이라면 다들 최고라고 하실 듯!
1,지루함의 극치였어요
10,아나 너무 재밌다 ㅋㅋㅋ
7,더 막 나가야 됐었다.
10,초웃김ㅋㅋ넘웃겨서10
10,굳 5번봤음 ㅋㅋㅋㅋ심슨최고임
7,재미있게 때론 심슨답게
10,캬 굿굿
7,노란 가족의 부활
10,말 그대로 최고!!!ㅋㅋㅋㅋ
9,정말 바보같아도 미워할수 없는 가족 심슨 가족! 너무나들 사랑스럽다
9,오랜만에 아무생각없이 실컷웃어보네요ㅋㅋㅋ
9,너무 재밌음ㅋ
7,가볍게 재미로 볼만한 영화. 웃기고 재밌고 끝까지 허무하지 않으면서 재밌음
9,게임으로 알게된 심슨, 보게 된 건 2007년, 명불허전이네요.
9,역시 심슨가족.
10,너무재밌음 목구멍?노래하는거에서 울반애들이랑 같이봤는데 폭소함 아무튼강추
10,존내 웃김ㅋㅋ
1,평점ㅇ에낚였다
8,바보같은 호머-0- 참 희안한 가족이지만.. 왠걸~ 나름 참 따뜻한 가족이다
7,심슨 팬으로서도 솔직히 재미없었어.. 무난하단 느낌밖엔
9,은근히 웃기다. 호머와 바트의 노는 장면이 압권!
6,심슨 시리즈에 대한 배경지식 없이 봐서 그런건가? 크게 재밌는 영화는 아니었다.
10,심슨 재미있네ㅋㅋ
10,환경에 대해 다룬 것이 좋았음. 나름 교훈도 있다.
10,어렸을땐 이해못해 재미없었지만 지금은 너무너무 재밌는 심슨가족!!! 영화도최고!!!
10,이거보고 심슨에 빠져서 지금 tv판 에피4 보는중 ㅋㅋ 최고다!!
10,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ재밋당무한도전같아
10,웃경;;
10,이런류의 개그를 원했음
9,개인적으로 티비판을 따라가진 못했다
10,최고다 최고
10,재미있고 재치있고 성인애니메이션의 역할을 제대로 한 작품.
10,심슨가족. 정말 재미있는 성인들 만화. 아이디어도 좋고.참.
10,환경문제를 다룬것에대해..
8,솔직히 15세는 되어야 될 것 같은데...
10,퍼팩트임돠
9,호머 너무 웃겼다 .  ㅋㅋ
10,역시 심슨.. ㅋㅋㅋㅋ 재밋었다
8,중간중간 재미 속에 풍자가 좋았다. 적당히 재미도 있고 교훈도 있고.
9,기발하고 재미도 있지만 교훈적이기까지!
7,별로 재밌진 않아도 은근히 웃기고 계속 보게 만든다
6,현대 심슨가족의 극장판 적절한CG 사용도 좋고 스케일이 커진듯 크지않은 느낌도 좋다
9,그냥 tv로 보는것보다 더 업글돼어있네요 ㅎ
1,이런내용별로
10,good!
10,우왕ㅋ굳ㅋ 킹왕짱
10,완전웃기다
8,TV시리즈 보다 그래픽은 좋았지만 재미는 적었던것 같다
10,한마디로 최고다!  다른말이 필요없다.
9,재밌어ㅋㅋㅋ
9,생각보다재밌어애니메이션은기대안하는데 심슨만의재미
9,재밌닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4,한시간짜리 에피소드도 지루하던데, 혹시나가 역시나로군.
10,심슨 너무 재미있다.
10,진짜재밌어요!!후회안해요
10,심슨 가족 짱
10,신슨가족 더 무비!! 짱! 재미있어요!!!
9,짱잼써여!!!
10,ㅋㅋㅋ만족 역시 심슨
10,심슨이 유명한데는 그 이유가 있다는걸 보여주네요 나이가 드니 재밌네
9,재밌었어요.. ㅋㅋ 재밌다는 말 밖에 할수 없네요.. ㅋ
9,웃기고 풍자적이지만 조금은 산만하게 돌아간다
9,자막 없이 봐도 이렇게 재밌으니 자막켜고 보면 얼마나 재밌을까!
9,웃기기도 웃기지만 아는만큼 보이는 영화. 정말 신랄하게 깐다.
10,d유치하기만 할줄알았던 심슨,이런맛이 었구나ㅋㅋ
10,웃으면서 본 영화에요. 진짜 재미있어요.
10,옛다 10개다 재밌네 ㅋㅋㅋ
10,아진짜 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자막너무욱겼슴
10,이런 명작을 영화에서 보다니 ㅋㅋㅋ
9,tv씨리즈 별루 재미없지만 극장판은 재미있다 그래서 9점을 준다
7,재미있는건지 아닌지 내 정서에는 맞지 않는가 보다
10,이건명작 ㅋㅋㅋㅋ재밌다재밌어 -ㅅ-
10,정말 재밌게 봤다는 ㅋㅋㅋ
9,괜찮은데 ㅋㅋㅋㅋ
10,짱,.,,,,,,,,,,
8,유치할 줄 알았는데.... 내용도 괜찮고 재미두 굳~^^
1,심슨정말 좋아하는데...실망.....+_+
10,심스가족 더무비 너무나무 재미있어요! (짱)
10,최고다 지금의 나를 돌아보게 해주는 영화이다
9,환경문제 확실하고도 우회적으로 느끼게 해주네요..ㅋ
7,재밌긴했지만, 환경에 대한 내용 때문에 조금 무서웠음(?).
10,진짜 재미있게 본 영화. 신고.
10,?생각해보니 내용이없는것같기도 하지만웃겨서몰랏음 둉늬웃겨ㅋㅑㅋㅑㅋㅑ
10,진짜재밋음~!
7,몇몇부분에서는 웃기는데 내용이없다 ㅋ
10,무척 재밌었어요~
5,나는 별로 안 웃기던데..
10,재미있다.~
10,심슨 너무 재미있다
10,넘재미있어어요
9,괜찮았음
10,마지막 엔딩크레딧까지 폭소가 쉴새없다!
10,웃기네 ㅋㅋ
9,아 진짜 웃겼음 ㅋㅋㅋ만족
9,기대한 것 이상의 재미
7,심슨 매니아들은 재밌을만한 영화
10,ㅎㅎ 다운받아봤지만 너무재밌다 특히 산에서 눈사태 그장면이 제일웃겼다
9,집에서 봤는데...ㅋㅋ쫌 우껴씀...
9,번즈사장이 너무 짧게나와 실망이지만 TV팬이라면 만족할만하다!
10,Thank You For Vinus!!!!!!!!!!
7,극장판이라고 달라진 게 없다...... 그게 장점인 애니
9,너무 재밌었다 허나 극장에서 본건 후회된다
8,웃김..ㅋ
10,너무 좋아 심슨네~!! 현실을 반영하는 가족~~ㅎㅎ
10,개쩐다, TV판과는 또 다른 재미.... 진짜 실컷 웃었다.
10,웃음과 재미만은 만점
7,실망은 없다. 딱 테레비만큼 굉장히 우낌.
8,괜찮긴 한데 내용이 좀 뒤죽박죽이다. 좀 깊이 생각하게 되는 영화
10,ㅋㅋ진짜 재미있었어요
9,86분짜리 에피소드라고 생각하고 보면 나쁘지 않음.
3,재미없다....
4,심슨매니아들에 대한 모독... 20분간의 TV판 에피소드만도 못하다.
10,12세이상이용가에서 나오는 무거운 풍자 ㄷㄷㄷ..
10,심하게 웃기다...ㅋㅋ
9,얻는건 재미뿐만이 아니다. 이래서 심슨이다!
10,최고.. 최강웃김
8,그냥 재밌다. 그냥 보면 될 듯.
9,역시 기대를 져버리지않는,,,
8,잘 만들었어
10,PG-13이라.. 부럽네..
10,잼있어여 ㅋㅋ
8,만화인대도 불구하고 말로도 웃겨주는 센스!!
10,중간 중간 재미있는 장면 때문에 크게 웃었어요
5,잔혹, 풍자 이러한 것들이 만화에서 존재할 때 재밌는것도 아니고 이도저도
7,웃기고,재밌지만, 우리가 알고있는 심슨이 아니다.
10,심슨 진짜 재밌었다 ㅋㅋ
10,웃겨서 울었음 런런 레스트레스트
10,영화 뭐 있어? 같이 그냥 노는거지!
7,이렇게 끝까지 웃겨줘야 코미디지 ㅋㅋㅋㅋ
10,극장에서 봤는데 진짜 재밌다 ㅋㅋ 돈 하나도 안아까웠음 추천!!
10,솔직히 별 기대 안하고 봤는데 ;; 지대웃겼다 ㅋㅋㅋ 얼래이렇게 웃기나?
10,친구들이랑 같이 봤는데 존나 웃겨가지고 ㅋㅋㅋㅋㅋ
10,존나 욱겨서 OOO줄 알았네 ㅋㅋㅋㅋㅋㅋ
10,그냥 웃기다 말이 필요없음..
9,재미 짱 있음
10,정말 별 여섯개짜린데 내가 기대를 너무많이한건가....-_ㅜ
7,심슨 대단해요~
9,말로만 듣던 심슨을 영화로 처음 만났다. 오.. 매력있다!
8,이런 코미디 애니메이션에 가족간의 사랑이 뽀너스로 딸려오네요?!
7,기대했지만 그저 그랬다. 초기 TV 에피소드에 비하면 역시 별루다.
10,별 기대 않하고 봤는데 실사 코미디 영화보다 더 재밌다. 굿~^^
10,대사 하나하나에 각종 풍자들이 들어있다. 풍자영화의 백미!
10,역시 심슨
9,야호... 뒷부분에서 좀..
9,내가 본 코미디 영화 중 최고로 영악하게 웃긴다.
7,심슨 특유의 개그 ㅋㅋ 나름 볼만함
8,좀 유치하긴한데... 볼만하다 !!
10,유쾌하고 코믹하다.
10,좋았음
10,우왕ㅋ굳ㅋ
8,우왕ㅋ굳ㅋ
6,재밌다. 하지만, 심슨가족 특유의 개성 넘치는 유머가 조금 부족한듯..
1,잠만잤다
7,더도 덜도 아닌 딱 심슨^^
10,웃겨요ㅋㅋㅋ
9,유치한 듯 하지만 간간히 튀어나오는 웃기는 장면들 최고!!
8,좋음. 시간보내기딱
8,처음 봣는대,, 재미는 있는대,, 어린이하고 같이 보면 안될것 같은 애니
8,아직도 심슨가족은 내정서에 맞지 않지만..그런대로 잘 만든것 같다
9,심슨을 처음봐도 정말 끌려들수밖에 없다.
10,이거 뭐야...돈이 안아까워!재밌어!재밌어!
5,심슨 가족의 어떠한 에피소드 하나보다도 재미없다
10,웃음의 결정체인 심슨의 매력과 환경이라는 중요한 주제를 완벽하게 조합!
8,재밌는데...? 환경오염의 대한 경고
5,심슨을 처음봐서 이런내용?
8,심슨은 역시 영화로도 손색이 없다는 걸 보여준다.
10,재밌다 ㅜㅜ
10,잼있다
10,정말 재미있었다 ㅋㅋ 최고의 코믹
10,감히 누가 이영화를 만화영화라고 하는가?
1,심슨 특유의 재미가 살아나지 못한 영화
10,쿠헤헤- 최고웃겨!!
10,캐릭터들도 귀엽고 내용도 좋네'ㅡ'조아조아
9,나름대로
6,평점너무높다..그래서그런지 기대이하..더큰웃음을원했는데..아쉽다~
8,역시 심슨..ㅋㅋ 기대를 져버리지않는다
6,기 대 이 하 .
10,역시 심슨인거다
9,나름 재밌다 ㅎㅎ
10,언제나 웃긴
9,아쉬운 1점
10,호머 아저씨는 최고다!!
8,웃겼긴 웃겼다. 가족하고, 환경을 지켜야하는 중요성도......
10,86분의 짧은 러닝타임에도 심슨 가족, 더 무비는 내 마음속 깊이 사무쳤다^-^*
10,졸라잼있엌ㅋ
8,패러디 영화 굿 ㅎㅎ
8,짧지만 이 영화 하나로 심슨을 이해하게 되었습니다.
6,기대만큼은 아니닷
9,어린이들이 좋아하는 것 같아요
8,조금 지겹네
9,기대안하고 봤는데, 계속 웃다 나왔다, 재밌다,추천!
9,기대만큼은 아니지만 역시 심슨이다.
9,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ최고
9,잼다
10,기대 너무 많이 해서 그런가 생각보다 많이 잼있진 않았암. 그래도 심슨 조아.ㅋ
10,재미있어요 ~~~!!! ㅎㅎㅎㅎ
10,초재밌어옄ㅋㅋ아..스파이더 피그 ㅋㅋ
10,재미있고 가족의 사랑에 관한내용을 코믹하게 다룬거다 재미있다 굿굿 베리귯
8,환경보호
7,그냥 만화치곤 웃낀.. 내용이 황당하다 ㅎㅎ
10,문화의 차이가 느껴지긴 한데, 재미있음.
10,극장 내내 웃음을 터트렸다. 의외로 말이 안되는 내용이였는데도 말이다
1,정말 재미없다진짜 평점보고봤다가...아오
9,졸잼씀
9,골 때리는 가족의 대형 나들이~~ 크크큭.
7,조금 지루한면이..그래도 계속보니 웃겼어요~제 취향은 아닌듯.
10,역시 심슨답다!!!
8,역시 재밋다!
7,재밌는뎀.. 약간 지루??..ㅋ
9,볼만했다. 환경에대한 뭔가의 교훈도함께...
9,역시 심슨.여전히 유쾌한 그들..
10,배꼽빠지겠다..
9,'왜 심슨인가' 그 해답을 알수 있는 영화
7,괜찮은영화. 웃기면서도 그안에 깊은뜻이있는 유치한만화 영화만은 아닌 듯.
10,컥..시사회 당첨된걸 한달하고도 몇일이더지나고나서야,,당첨된거확인ㅜㅜ..
6,처음엔 웃겼는데 뒤로갈수록 잠이오는... ㅠㅠ 그래도 나름 괜찮았내요.
10,재미있었음ㅋㅋ기대안하고봐서 그런지 더더욱^^
1,TV판이나 봐자
10,풍자가 넘 재밌네 엄청 웃김 ㅋㅋ
10,패러디 역사에 길이 남을 명작
10,풍자속 유머.. 추천~~~
10,계속 보고싶다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10,진짜 짱재밌다. ㅋㅋㅋ
10,재밌다진짜ㅋㅋㅋㅋ
10,아 재밌어라 ㅋㅋ
10,영어로 봐서 90프로밖에 이해못했지만 정말 재밌었다
10,ㅋㅋㅋㅋ 절라 웃겨요 완전웃김진짜 우울할때 보면 딱임.
10,역시심슨!!
10,코미디와 가족애가 조합되어있는 영화
10,재미없다는놈들은 심슨이 몬내용인지도 모르냐 으이구
10,재밌다.ㅋㅋ
4,존내 재미없다 세련되지 못한 더러운 풍자.
8,ㅋㅋㅋ 재미있었다..^^
6,난 역시 한국인이야....
7,뛰어난 센스로 무장한 성인용 개그만화 .
10,이파이파이파~!!! 이 부분이 젤 웃겼던것같애 ㅋㅋㅋ
10,TV시리즈보다 재미있으니10점
10,오랜만에 웃었다
10,스파이더 피그 스파이더 피그 스파이더 피그~
7,미국식코미디를 이해할 수 있다면 꼭 보라
5,미국식코미디를 나는 이해하지 못함..
5,별5개가 적당하다.
8,역시 실망시키지 않는군
8,스퐈이더 피그 스파이더피그
9,적절한 감동과 패러디와 웃음의 완벽한 조화!
7,나름대로 잼있었다 ㅎ
3,초딩들만 관람평적었나,,, 내친구는영화보다자고,난하품하면서봣다
10,완전 재미있게 봤다. 심슨 시리즈중 단연 최고
10,열번 웃고 두번 울었다, 이건 최고야
10,너무 재미있었다 심슨 가족의 온 몸개그 웃겼다 중간중간 웃음 2D 애니메이션 최고!
10,문화차이를 아주 조금 느꼈지만 너무너무 재밌다.
10,참신하고 재밌다 ㅋㅋ
7,so so
8,시리즈일때가 좋아
9,명작 애니.. 극장판까지 끝내준다!
10,역시 심슨이다. 참신하고 재밋다.
6,잘 모르겠다;
9,시작부터 누가 TV시리즈를 영화관에서 돈 내고 보냐?'는 호머 ㅋㅋㅋ..
9,그냥 저냥 심슨은 심슨!
1,미국에서 봤는데 , 어디에서 웃어야 할지 ㅡ~ㅡ ;;
10,역시 원조 코미디 ..ㅎㅎ 기대를 저버리지 않았다.
5,스토리는 뻔하지만 나름 볼만하다
10,미국식 유머지만 재밌음 ^^
10,시간가는줄 모르고 봤다..ㅋㅋ 잼있어 잼있어.ㅋㅋ
10,역시 심슨가족 다운 영화 엄청 웃었내요
8,심슨 특유의 유머, 에피소드 4배의 시간을 지루하지 않게 하는 탁월함!
10,와 이건 영화관에돈내고봐도 하나도 안아까울영화
8,위기를 빠뜨린것도 심슨, 구해내는것도 심슨. 현재 미국의 자학자뻑농담
6,그냥.. 심슨 가족 영화...
6,웃느라 정신없어요
9,재치와 더불어 무식한 미국 서민들을 풍자한 만화영화.
7,미국식 개그와 교훈을 적절히
6,기다렸던 심슨더무비....심슨이 지루할수도 있구나...를 깨달았다
10,나에게 재미보다는 환경파괴의 무서움을 알려주는 영화이기도 했다..
7,그냥그래
10,엽기 가족이양 ㅋㅋ 20th 뜰때 심슨 노래 불러 ㅎㅎ
8,현실비판 100%, 재미 80%, 조롱 500%
8,스파이더 피그~스파이더 피그
10,ㅎㅎㅎㅎㅎㅎㅎㅎ최고에요~웃겨 죽는줄 알았어요 ㅋㅋㅋ
9,호 기대 안하고 봤는데 잼있네요 보통미국만화는 재미없던데 이건기대이상~
3,우리나라영화였으면절데로 9점안나왔을영화~역시 미빠들...
8,미국의 머리와 시다리바리 한국이 만든 영화, 역시 만화는 만화다워야
10,가볍게 보면서 깔깔대고 웃을수있는 영화^^ 재밌어요!
10,유치하게 적당히 잘 웃었습니다.ㅎㅎㅎ 미쿡유머가 통하네? ㅎㅎㅎ
10,아 정말 기대이상이다 ㅋㅋ
9,재밌게 봤습니다^^
9,우와 굿 유머 굿
9,심슨 가족만의 고유 느낌이 너무 재미나네요...ㅎㅎㅎ
10,달려 달려 쉬어 쉬어
9,심슨만의 유머가 영화에서도 잘들어있다~
10,수위를 어느 정도 지켜주면서 유쾌한 것 같다.
8,애들은 절대 재미 없겠지만, 심슨은 단 한편도 재미 없던 적이 없었다.
5,티비에서 보는 시즌 보다 더 재미 없다.
3,난 솔직히 어디서 웃어야 되는지 모르겠어
10,빌리조.. 초반부터 아주 대박~ㅋㅋㅋㅋ 잘 봤어요
8,블랙유머애니의 최고봉~ 또라이처럼웃고싶으면 "심슨"을 봐라~
10,ㅎㅎ 오랜만에 유쾌했었다.
10,재밌다
10,정말 재미있었다
8,심슨스타일의 애니
10,영화관에서 모두 웃었다. 재밌었다
2,전혀 재미없어
8,재미있다 나름 가족애도 느낄 수 있고 ㅋㅋㅋ
10,3D 애니세상에게 2D 명함을 내민 심슨가족!!!(재밌었다!!!)
10,심슨 처음으로 봤는데..참 재미있다..!
10,기대 많이 하고 갔었는데 기대 이상이었던 영화^^역시 심슨!
10,노란가족들의 자기동네지키기. 따뜻한 가족애도 느낄수있어서 좋다.
8,재밌긴 재밌는데..     우리 코드엔 약간 안맞는듯..
10,재밌기도 했지만 정말 풍자를 잘 했네여.. 우리나라도 이런거좀 만들지
5,우리 정서에는 이해할 수 없는 요소가 너무 많다는데 흥행실패 이유!!!
9,재밌는 작품 지루하지 않았다
10,이건 뭐 답이 없다!!!!!!!1
10,재밌네요 ㅋㅋ
6,톡톡 쏘는 맛은 있지만, 미국정서라서 그런지 그럭저럭!
10,역시 심슨....... 재밌었다^^
6,그래도 TV시리즈중 대박 또는 스페셜 보다는 못하더만...
10,유쾌한 풍자...ㅠㅠ
8,풍자가 재밌는 영화.
9,일본오타쿠들은 이 재미를 모를꺼야. 스파이더피그~ 스파이더피그~ ㅋㅋ
7,미국식 코미디는 잘모르나 이해하는데 큰어려움은 없음 걍 so so
8,볼만했다
10,간만에 좋은 애니메이션영화 추가요~~~
7,많이 퐝당하지만.. 웃길땐 웃겨주는 센스~
9,볼만해요ㅋ
9,일단 웃기고. 이단은 한국인들이 제작에 참여해서 더 의의가 있는!
10,처음에고양이랑쥐랑싸우는거랑호머가바트가말안들을때목조르는거조금 잔인
9,텍사스 사투리 영어회화 강습 ㅋㅋㅋㅋㅋ
1,ㅋㅋㅋㅋㅋ보는내내웃엇다.어이없어서다 ㅡㅡ개그의수준이쓰레기
10,ㅋㅋㅋ 그린데이 공연장 물에 가라앉을떄 타이타닉 패러디한거 ㅋㅋㅋ
10,신랄한 사회비판과 풍자 유머를 다 갖춘 성인영화!10대는오지마라.
10,계속 웃게 만드는 영화~ 블랙코미디의 진수
10,너무 웃김 ㅠㅠ <
10,ㅋㅋㅋㅋㅋㅋㅋㅋ처음에 그린데이부터 쓰러짐 ㅋㅋㅋㅋ
10,예전부터 좋아했던... 역시 블랙유머의 진수.
