알로, 슈티
10,이렇게 기분 좋게 영화 본게 얼마만인지.. 정말 후회 없는 선택! 왜 프랑스 국민들이 반했는지 너무 잘 알겠어요!
5,작년 초, 프랑스 갔다가 현지에서 본 영화...따뜻하고 훈훈한 플롯
10,사람 사는 거 다 똑같이 정많고 수수하고 행복하다.
9,재밌어요 완젼 ㅠㅠ 추천추천추천
10,▷가장 사랑하는 사람과 보고싶은 영화!▷마음이 따뜻해 지는 영화! ▷평범한 우리들 일상에서 스며 나오는,   미소와 햇살을 머금은 영화! ▷최고의 힐링영화! ▷웃다보면 나도 모르게 감동의 눈물로   범벅이 된다!
9,유쾌하면서 따뜻한 영화
10,따뜻한사람냄새풀풀날리는유쾌한휴먼코미디
10,따뜻하다! 요즘 본 영화중 제일 좋았음
1,노잼이었습니다. 저랑은 개그코드가 안맞는듯
10,보고나서도 마음편한 기분좋은영화 !!
9,힐링이 필요한 관객들에게 따뜻한 감동 당장 떠나고 싶다  여행하자 북부 프랑스로
10,처음에는 잔잔한 영화겠지..  하면서 봤는데요!!! 소소하면서도 정말 웃겼어요.  따뜻해지는 영화이기도 하고 웃음과 감동이 다 느껴져서 좋았습니다.
8,이런거봐야한다....
9,소소한행복을 일깨워주는 예쁜 힐링영화!
9,편하게 웃으면서 봤네요 기분 좋아지는 영화 !!
10,이런영화는 이따금씩 봐줘야 감정이 살아있다는 느낌이 든다...추천~ 꾸욱!!!
10,건조한 나에게  잔잔하지만 깊은 감동이 있는 영화였습니다잘 봤어요~
10,갑자기 세상이 아름다워 진다  ;D 소소하게 볼 영화로 최고!
10,그래 우리에겐 이런 영화가 필요해... 보고 나왔는데 또 보고싶은 그런 영화. 애정합니다~ 슈티~~
10,넘재밌었어요~ 잔잔하고 소소하게 웃기는 프랑스 영화. 불어가 이리 매력적인 것을 새삼 느끼게 해주어요. 추천'ㅡ'!!!
10,생각없이 웃을 수 있는 영화! 재미있어요. 귀여운 베르그 슈티미^^ 남자친구와 한참을 웃고 왔네요ㅎㅎㅎ 보는사람도 상영시간대도 적어 아쉬웠어요ㅠㅠ
8,슈티네집은 어디인가로 알려진영화인데 다시 이름이 바뀌어서 개봉하나봐요. 따뜻한 사람사는 이야기가 감동적인 영화였어요
10,마른장마보다 더한 기자들....
10,음산한 북불의 하늘 아래  소박한 매력이 넘치는 도시의 풍경이 인상적이었어요. 깍쟁이 중의 깍쟁이인 파리 사람들과는 사뭇 다른 훈훈한 시골 인심이 마음을 따뜻하게 하네요. 주인공 필립 아버씨 연기 정말 굿~이예요.
9,역시나 좋았다. 음악이며 스토리가 아주 착하다.
10,빵 터지진 않지만 잔잔하게 웃음짓게 만드는 영화네요. 간만에 마음이 청량해지는 느낌?
5,재미도 감동도 그냥 그냥 보면 되는 영화..높은 평점 기대하고 보면 기대에 못 미칠수도.
10,영화 좋네요~ 힐링힐링
10,따뜻했다. 근래에 받은 가장 큰 위안이었다.
10,재미있고 따뜻하고 소박하고 감동적이고 너무 좋았어요 :)
10,따뜻하고 행복해지네요~~!!
10,무공해 힐링무비라는 말이 딱 맞는 것 같은! 행복해지는 영화였습니다 :D
